Strasse,Hnr,adresse,lat,long,Alphateil,Zusatz,WahlbezirkNr,WahlbezirkName,WahlraumAnschriftStr
Am Stadtwald,2,"2 Am Stadtwald, Verden (Aller)",529360487,92348138,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Am Stadtwald,6,"6 Am Stadtwald, Verden (Aller)",529368323,92353355,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Am Stadtwald,8,"8 Am Stadtwald, Verden (Aller)",529371033,9235655399999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Am Stadtwald,10,"10 Am Stadtwald, Verden (Aller)",529375108,92358502,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Am Stadtwald,60,"60 Am Stadtwald, Verden (Aller)",529393476,92334468,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bˆhmestraﬂe,3,"3 Bˆhmestraﬂe, Verden (Aller)",5293598619999990,9225064999999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bˆhmestraﬂe,5,"5 Bˆhmestraﬂe, Verden (Aller)",529361905,9225057,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bˆhmestraﬂe,7,"7 Bˆhmestraﬂe, Verden (Aller)",529361873,9225043699999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bˆhmestraﬂe,9,"9 Bˆhmestraﬂe, Verden (Aller)",529362056,9224779999999990,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
Bˆhmestraﬂe,11,"11 Bˆhmestraﬂe, Verden (Aller)",529362057,922472,,,101,Kindertagesst‰tte Neiﬂestraﬂe,Neiﬂestraﬂe  12
